Order,Family,Species_name,Weight,No_of_datasets,Ln,Pn,Pin,Ls,Ps,pnps,diversity,Pis,log_Pis,L4,P4,Pi4,Range,log_Range,migrant,longevity,log_Longevity,Body_mass,log_Bodymass,BMR,log_BMR,Range_type,No_of_ranges,Area,log_Area,Average_latitude,Latitude,log_Latitude,Latitude_migrants,Average_longitude
Passeriformes,Fringillidae,Pyrrhula pyrrhula,2699.2089,1,775.67,0,0,265.33,1,,,0.00094221,-3.025852291,203,1,0.0012315,37600000,7.58,migrant,17.5,1.243038049,29.5,1.469822016,0.552,-0.258060922,,,,,,,,,
Passeriformes,Fringillidae,Pyrrhura melanura,1602,1,803.33,2,0.0016598,264.67,3,0.5,-0.301029996,0.0075567,-2.121667819,196,3,0.010204,2430000,6.39,nonmigrant,,,83,1.919078092,,,1,1,122.5234744,2.088219304,-1.3932553,1.3932553,0.144030704,,-70.47543846
Passeriformes,Cotingidae,Querula purpurata,3209.3292,1,749.67,4,0.00071143,237.33,12,0.3077,-0.511883361,0.009069,-2.042440598,178,7,0.0064205,8790000,6.94,nonmigrant,,,105.25,2.022222105,,,1,1,461.5077571,2.664179005,-4.73184537,4.73184537,0.675030544,,-62.46180717
Passeriformes,Icteridae,Quiscalus lugubris,2124.966,1,757.67,6,0.0047514,262.33,30,0.1935,-0.713210443,0.068615,-1.163580932,202,19,0.056436,3460000,6.54,nonmigrant,,,63.25,1.80106053,,,,,,,,,,,
Gruiformes,Rallidae,Rallus obsoletus,3973.0698,1,633.67,1,0.00023784,212.33,2,0.3333,-0.477121255,0.0012876,-2.890219032,162,1,0.00093033,1260000,6.1,nonmigrant,,,252.75,2.402691164,,,1,1,5.30070059,0.724333274,25.3519417,25.3519417,1.404011227,,-108.3960265
Passeriformes,Regulidae,Regulus regulus,2944.989,1,779.67,1,0.00025652,261.33,9,0.1,-1,0.007483,-2.125924255,197,6,0.0060914,51100000,7.71,migrant,7,0.84509804,5.85,0.767155866,0.184,-0.735182177,,,,,,,,,
Passeriformes,Rhipiduridae,Rhipidura phasiana,4878.470407,2,1016.33,5,0.001024264,339.667,10,0.4545,-0.342422681,0.006527118,-2.185278536,251,5,0.004526778,3930000,6.59,nonmigrant,,,6.4,0.806179974,,,1,1,27.03478579,1.431922933,-15.5854787,15.5854787,1.192720146,,131.4550477
Passeriformes,Thraupidae,Saltator grossus,3125.5965,1,778.33,7,0.002628,256.67,38,0.1795,-0.745966567,0.050236,-1.298984948,191,23,0.042599,9340000,6.97,nonmigrant,,,47,1.672097858,,,1,2,510.1245615,2.707676234,-2.631137926,2.631137926,0.420143615,,-63.95273997
Passeriformes,Muscicapidae,Saxicola torquata,4008.3264,1,712.33,9,0.0016195,241.67,33,0.2647,-0.577236408,0.022255,-1.652572401,179,20,0.018476,82800000,7.92,migrant,8.8,0.944482672,15,1.176091259,0.255,-0.59345982,,,,,,,,,
Passeriformes,Tityridae,Schiffornis turdina,1041,1,788.33,3,0.0038055,252.67,24,0.12,-0.920818754,0.094987,-1.022335829,190,12,0.063158,10400000,7.02,nonmigrant,,,41,1.612783857,,,1,1,458.8306507,2.661652422,-6.2158485,6.2158485,0.793500421,,-63.01176259
Passeriformes,Tityridae,Schiffornis virescens,3468.744,1,690.67,3,0.00033413,218.33,10,0.2727,-0.56427143,0.0066236,-2.178905903,164,4,0.0039962,2070000,6.32,nonmigrant,,,25.175,1.400969479,,,1,1,145.9060953,2.164073435,-22.1843453,22.1843453,1.346046616,,-49.61745697
Passeriformes,Furnariidae,Sclerurus mexicanus,3031.515,1,787.33,10,0.0046186,247.67,80,0.1235,-0.908485019,0.13655,-0.864708296,182,41,0.092108,14800000,7.17,nonmigrant,,,27,1.431363764,,,1,1,521.5831931,2.717323589,-3.691241,3.691241,0.567172401,,-62.44680119
Passeriformes,Furnariidae,Sclerurus scansor,9224.212686,3,1476.66,12,0.001764566,494.337,56,0.2105,-0.67669361,0.033353188,-1.476862649,368,30,0.021079647,2560000,6.41,nonmigrant,,,33,1.51851394,,,1,1,184.6005409,2.266232969,-21.813829,21.813829,1.338731904,,-49.42217814
Charadriiformes,Scolopacidae,Scolopax minor,1945.7064,1,474,5,0.0018933,153,7,0.625,-0.204119983,0.012402,-1.906508273,114,4,0.0094467,6410000,6.81,migrant,20.9,1.320146286,191.25,2.281601444,1.066,0.027757205,1,1,117.6528452,2.070602434,33.85148935,33.85148935,1.529577781,,-86.38821496
Charadriiformes,Scolopacidae,Scolopax rusticola,3405.2757,1,580,9,0.00079747,191,41,0.2143,-0.669006781,0.032334,-1.490340566,138,28,0.025138,49000000,7.69,migrant,15.5,1.190331698,275.5,2.440121603,2.16,0.334453751,1,1,59.14344663,1.77190663,47.63534893,47.63534893,1.677929351,,2.995324384
Passeriformes,Parulidae,Setophaga coronata,12899.9094,6,4314.67,36,0.00387964,1403.33,213,0.1682,-0.774111273,0.081568692,-1.088476502,1032,120,0.062318616,,#NUM!,,,,,,,,,,,,,,,,
Passeriformes,Sittadae,Sitta europaea,3638.3991,1,772.67,8,0.0043595,268.33,33,0.2353,-0.62838893,0.052523,-1.279650476,203,22,0.046668,51400000,7.71,nonmigrant,12.9,1.11058971,22.5,1.352182518,,,,,,,,,,,
Passeriformes,Sittadae,Sitta krueperi,1638.8937,1,446.67,0,0,156.33,4,,,0.011016,-1.957976073,124,3,0.0098566,895000,5.95,nonmigrant,,,12.15,1.084576278,,,1,1,29.70862656,1.472882575,38.79831352,38.79831352,1.588812848,,31.09595396
Passeriformes,Sittadae,Sitta nagaensis,2829.3339,1,774.33,0,0,266.67,6,,,0.0060417,-2.218840843,202,3,0.0046755,3800000,6.58,nonmigrant,,,17,1.230448921,,,1,1,94.77253475,1.976682496,25.7283614,25.7283614,1.410412128,,100.2818776
Passeriformes,Acanthizidae,Smicrornis brevirostris,3324.1944,1,604,6,0.00058434,209,48,0.1224,-0.91204483,0.026073,-1.583808995,162,27,0.015669,9560000,6.98,nonmigrant,,,6,0.77815125,,,1,1,653.5150604,2.8152556,-25.6726492,25.6726492,1.409470686,,134.6435169
Anseriformes,Anatidae,Somateria fischeri,507,1,383.33,0,0,123.67,1,,,0.0080863,-2.09225015,93,1,0.010753,4060000,6.61,migrant,18,1.255272505,1500,3.176091259,,,,,,,,,,,
Anseriformes,Anatidae,Somateria spectabilis,1537.725,1,396.67,1,0.00045837,128.33,8,0.1111,-0.954242509,0.014168,-1.848691452,96,6,0.015152,19100000,7.28,migrant,18.9,1.276461804,1600.75,3.20432351,,,,,,,,,,,
Sphenisciformes,Spheniscidae,Spheniscus magellanicus,3173.562,1,467.33,9,0.00049076,162.67,12,0.6923,-0.159700843,0.0049759,-2.303128356,124,4,0.0041562,2340000,6.37,migrant,30,1.477121255,5050,3.703291378,,,1,1,72.99540411,1.863295517,-49.51486,49.51486,1.694735555,,-70.9054594
Passeriformes,Fringillidae,Spinus spinus,2944.989,1,774.33,2,0.00051657,266.67,8,0.2222,-0.653212514,0.0065833,-2.181556354,205,5,0.0056369,33300000,7.52,migrant,13.5,1.130333768,14.3,1.155336037,0.29,-0.537602002,,,,,,,,,
Passeriformes,Timalidae,Stachyris erythroptera,2953.6485,1,561.67,8,0.0060007,197.33,63,0.125,-0.903089987,0.12037,-0.919481739,151,37,0.084779,1690000,6.23,nonmigrant,,,12.55,1.098643726,,,,,,,,,,,
Passeriformes,Timalidae,Stachyris poliocephala,2497.1496,1,533,9,0.0054078,193,26,0.3333,-0.477121255,0.043178,-1.364737478,151,13,0.029823,2890000,6.46,nonmigrant,,,27,1.431363764,,,1,1,58.22426763,1.765104034,-0.947698933,0.947698933,-0.023329608,,101.5215685
Passeriformes,Timalidae,Stachyris ruficeps,18775.8801,4,3246.33,20,0.000614719,1091.67,385,0.0518,-1.285557309,0.085260968,-1.069249741,815,230,0.067104441,5130000,6.71,nonmigrant,,,9.5,0.977723605,,,,,,,,,,,
Caprimulgiformes,Steatornithidae,Steatornis caripensis,4836.7983,1,769.67,2,0.0012757,271.33,4,0.4,-0.397940009,0.0043425,-2.362260173,211,3,0.0036064,5830000,6.77,nonmigrant,,,412.5,2.615423953,,,1,1,86.48917941,1.936961777,-1.442662499,1.442662499,0.159164743,,-74.15755412
Charadriiformes,Laridae,Sterna hirundinacea,1462.9734,2,597.33,0,0,200.67,6,,,0.01592109,-1.798027203,152,4,0.014992857,10600000,7.03,migrant,,,195,2.290034611,,,1,1,147.1205991,2.167673485,-39.617364,39.617364,1.597885576,,-64.61965934
Charadriiformes,Laridae,Sternula antillarum,1959.744,1,384.33,4,0.0011969,134.67,10,0.3636,-0.439332694,0.018515,-1.732476284,101,6,0.014851,18200000,7.26,migrant,24.1,1.382017043,47.4,1.675778342,,,1,1,0.684259051,-0.164779449,17.43768358,17.43768358,1.241488793,,-99.87265378
Columbiformes,Columbidae,Streptopelia decaocto,2363.6889,1,489.67,7,0.0027035,167.33,95,0.0729,-1.137173193,0.22026,-0.657064365,131,63,0.19418,107000000,8.03,nonmigrant,17.9,1.252853031,179.5,2.254064453,0.95,-0.022276395,,,,,,,,,
Strigiformes,Strigidae,Strix omanensis,765,1,573,0,0,192,2,,,0.010417,-1.982257336,145,1,0.0068966,179000,5.25,nonmigrant,,,500,2.698970004,,,,,,,,,,,
Struthioniformes,Struthionidae,Struthio camelus,1326,2,995,3,0.003020334,331,1,1.5,0.176091259,0.002971871,-2.526970046,253,1,0.003781764,24400000,7.39,nonmigrant,50,1.698970004,114000,5.056904851,58.238,1.765206452,,,,,,,,,
Passeriformes,Thanmnophilidae,Stymphalornis acutirostris,4368.576,1,680.33,0,0,234.67,3,,,0.0028178,-2.550089835,181,3,0.0036533,1500,3.18,nonmigrant,,,10,1,,,,,,,,,,,
Suliformes,Sulidae,Sula leucogaster,1842.6231,1,604,2,0.0014349,203,4,0.4,-0.397940009,0.0075534,-2.121857516,157,3,0.0076433,223000000,8.35,nonmigrant,27.2,1.434568904,1137,3.055760465,,,1,2,2252.692642,3.352701941,-15.7844661,15.7844661,1.198229897,,-153.7066798
Passeriformes,Sylviidae,Sylvia atricapilla,5920.203,2,1464,7,0.001880196,492,35,0.1944,-0.711204461,0.026538752,-1.576119504,369,18,0.019124929,27800000,7.44,migrant,13.8,1.139879086,19.75,1.2955671,0.413,-0.384049948,1,2,192.372107,2.284142102,43.74727737,43.74727737,1.64095103,,1.409211276
Passeriformes,Sylviidae,Sylvia cantillans,4518.924,2,851.33,6,0.000480624,297.67,105,0.0566,-1.247154615,0.109476428,-0.960679381,226,64,0.082479568,5160000,6.71,migrant,,,11.55,1.062581984,,,,,,,,,,,
Passeriformes,Sylviidae,Sylvia communis,2829.3339,1,772,2,0.0010075,269,7,0.25,-0.602059991,0.0068154,-2.16650865,207,6,0.0077831,25100000,7.4,migrant,8.9,0.949390007,15.5,1.190331698,,,,,,,,,,,
Passeriformes,Sylviidae,Sylvia conspicillata,3708.1599,1,745.33,1,0.00038889,247.67,21,0.0455,-1.342422681,0.013342,-1.874779064,189,11,0.010889,11200000,7.05,migrant,,,10.45,1.01911629,,,1,1,85.11751221,1.930018922,33.681495,33.681495,1.52739136,,-0.80645244
Passeriformes,Sylviidae,Sylvia melanocephala,3613.0704,1,684,6,0.00067554,228,42,0.1395,-0.855317205,0.036015,-1.443516581,173,27,0.028809,9180000,6.96,migrant,8.3,0.919078092,18.5,1.267171728,,,,,,,,,,,
Passeriformes,Sylviidae,Sylvia sarda,1112.4822,1,398,3,0.0040201,136,4,0.6,-0.22184875,0.016176,-1.791128862,104,3,0.017308,132000,5.12,migrant,,,10.25,1.010723865,,,1,1,3.542759361,0.549341654,4.8993691,4.8993691,0.690140159,,9.032392754
Passeriformes,Paridae,Sylviparus modestus,12965.2677,4,3036,2,9.33E-05,1041,33,0.0588,-1.230448921,0.007161002,-2.145026205,803,20,0.004964542,5650000,6.75,altidudil migrant,,,7,0.84509804,,,1,1,76.06275751,1.881172066,26.4514243,26.4514243,1.422449062,,104.3777542
Passeriformes,Hirundinidae,Tachycineta bicolor,4166.6121,1,718.33,10,0.0010113,244.67,32,0.303,-0.51851394,0.010872,-1.963690556,182,17,0.0057927,19200000,7.28,migrant,12.1,1.08278537,21.25,1.327358934,0.286,-0.543633967,,,,,,,,,
