Order,Family,Species_name,Weight,No_of_datasets,Ln,Pn,Pin,Ls,Ps,pnps,diversity,Pis,log_Pis,L4,P4,Pi4,Range,log_Range,migrant,longevity,log_Longevity,Body_mass,log_Bodymass,BMR,log_BMR,Range_type,No_of_ranges,Area,log_Area,Average_latitude,Latitude,log_Latitude,Latitude_migrants,Average_longitude
Passeriformes,Thraupidae,Volatinia jacarina,297,1,226,0,0,71,0,,,0,,52,0,0,23600000,7.37,migrant,,,10,1,,,,,,,,,,,
Passeriformes,Parulidae,Wilsonia pusilla,1278.439676,1,237.67,1,0.00049407,77.333,25,0.0385,-1.414973348,0.077978,-1.108027908,58,13,0.051724,19600000,7.29,migrant,8.9,0.949390007,7.95,0.900367129,,,,,,,,,,,
Passeriformes,Thraupidae,Xenodacnis parina,387.4938,1,136,4,0.017647,50,17,0.2222,-0.653212514,0.204,-0.690369833,35,8,0.13714,139000,5.14,nonmigrant,,,11.25,1.051152522,,,1,1,4.626061308,0.665211384,-13.6533589,13.6533589,1.135239506,,-72.54042416
Passeriformes,Pipridae,Xenopipo atronitens,5364.6327,1,684,18,0.0018463,219,41,0.4286,-0.367976785,0.020244,-1.693703671,156,17,0.0073595,5740000,6.76,nonmigrant,,,15.25,1.183269844,,,1,1,161.9934732,2.209497517,3.4666313,3.4666313,0.539907654,,-63.07024205
Passeriformes,Pipridae,Xenopipo uniformis,1908.4653,1,786,0,0,255,2,,,0.0039216,-2.406536706,187,1,0.0026738,223000,5.35,nonmigrant,,,19.125,1.281601444,,,1,1,5.735277251,0.758554417,5.332248273,5.332248273,0.726910362,,-61.30292406
Passeriformes,Furnariidae,Xenops minutus,4176.1965,1,781.33,10,0.002967,247.67,89,0.1111,-0.954242509,0.11252,-0.948770277,177,40,0.069466,1650000,6.22,nonmigrant,,,8.5,0.929418926,0.227,-0.643974143,1,1,82.59429173,1.916950033,-21.46444431,21.46444431,1.33171965,,-46.70663227
Passeriformes,Passerellidae,Xenospiza baileyi,3326.9562,2,1471.33,5,0.001826869,454.67,1,2.5,0.397940009,0.001137844,-2.943917276,341,1,0.001393574,25200,4.4,nonmigrant,,,17.4,1.240549248,,,1,3,0.050682902,-1.295138526,21.6467885,21.6467885,1.335393474,,-102.6389878
Passeriformes,Furnariidae,Xiphorhynchus fuscus,10440.63395,6,3585.67,3,0.000293386,1190.327,27,0.1071,-0.970036777,0.011809896,-1.927753927,891,15,0.009187627,2450000,6.39,nonmigrant,,,20.25,1.306425028,,,1,1,168.3860569,2.226306127,-19.5256291,19.5256291,1.290605035,,-46.18050772
Passeriformes,Furnariidae,Xiphorhynchus kienerii,3214.2162,1,688,0,0,218,4,,,0.0026557,-2.575820986,162,2,0.0017869,1600000,6.2,nonmigrant,,,45,1.653212514,,,,,,,,,,,
Passeriformes,Furnariidae,Xiphorhynchus obsoletus,3935.0544,1,758.33,3,0.00027283,243.67,7,0.375,-0.425968732,0.0030123,-2.521101778,181,5,0.0032931,7100000,6.85,nonmigrant,,,31,1.491361694,,,1,1,545.2999851,2.736635486,-3.729612,3.729612,0.571663654,,-62.9132678
Columbiformes,Columbidae,Zenaida aurita,1827.696,1,463.67,3,0.0014901,160.33,8,0.3333,-0.477121255,0.016783,-1.775130405,130,6,0.017902,2360000,6.37,nonmigrant,,,144.75,2.160618572,,,1,2,19.98817679,1.300773182,21.6121216,21.6121216,1.334697402,,-78.95529412
Passeriformes,Passerellidae,Zonotrichia capensis,1938.345833,1,259.33,4,0.00021878,91.667,17,0.2222,-0.653212514,0.0039945,-2.398537575,66,12,0.0034172,25500000,7.41,migrant,,,23.9,1.378397901,,,,,,,,,,,
